Time   7.898902686036113 	 Money in circulation = 285.0 coins
Time   7.918565191682522 	 ReceiveBlock: 0 6 5
Time   7.918565191682522 	 Money in circulation = 285.0 coins
Time   7.992493070199508 	 ReceiveBlock: 6 8 5
Time   7.992493070199508 	 Money in circulation = 285.0 coins
Time   8.021539155726686 	 ReceiveBlock: 3 0 6
Time   8.021539155726686 	 Money in circulation = 285.0 coins
Time   8.055056606219239 	 ReceiveBlock: 9 5 6
Time   8.055056606219239 	 Money in circulation = 285.0 coins
Time   8.083216767985776 	 ReceiveTXN: 2 6 13
Time   8.083216767985776 	 Money in circulation = 285.0 coins
Time   8.110466157944376 	 ReceiveBlock: 8 6 5
Time   8.110466157944376 	 Money in circulation = 285.0 coins
Time   8.13951788335892 	 ReceiveBlock: 0 7 5
Time   8.13951788335892 	 Money in circulation = 285.0 coins
Time   8.143971780130878 	 ReceiveBlock: 8 7 5
Time   8.143971780130878 	 Money in circulation = 285.0 coins
Time   8.241183989279168 	 ReceiveBlock: 3 8 6
Time   8.241183989279168 	 Money in circulation = 285.0 coins
Time   8.276399604643098 	 ReceiveBlock: 0 6 6
Time   8.276399604643098 	 Money in circulation = 285.0 coins
Time   8.312871374108598 	 ReceiveTXN: 2 5 13
Time   8.312871374108598 	 Money in circulation = 285.0 coins
Time   8.357089609401749 	 ReceiveBlock: 5 2 6
Time   8.357089609401749 	 Money in circulation = 285.0 coins
Time   8.384973665742224 	 ReceiveBlock: 6 2 6
Time   8.384973665742224 	 Money in circulation = 285.0 coins
Time   8.443039121576307 	 ReceiveTXN: 6 0 13
Time   8.443039121576307 	 Money in circulation = 285.0 coins
Time   8.468728996471594 	 ReceiveBlock: 8 6 6
Time   8.468728996471594 	 Money in circulation = 285.0 coins
Time   8.49644074626681 	 ReceiveBlock: 0 7 6
Time   8.49644074626681 	 Money in circulation = 285.0 coins
Time   8.503594222106685 	 ReceiveBlock: 8 7 6
Time   8.503594222106685 	 Money in circulation = 285.0 coins
Time   8.51373347278086 	 ReceiveBlock: 7 8 5
Time   8.51373347278086 	 Money in circulation = 285.0 coins
Time   8.544789684516717 	 ReceiveTXN: 6 8 13
Time   8.544789684516717 	 Money in circulation = 285.0 coins
Time   8.559133607573479 	 ReceiveBlock: 2 6 6
Time   8.559133607573479 	 Money in circulation = 285.0 coins
Time   8.631912115012058 	 ReceiveTXN: 0 3 13
Time   8.631912115012058 	 Money in circulation = 285.0 coins
Time   8.731674978018647 	 ReceiveBlock: 6 8 6
Time   8.731674978018647 	 Money in circulation = 285.0 coins
Time   8.758844668723903 	 ReceiveTXN: 5 9 13
Time   8.758844668723903 	 Money in circulation = 285.0 coins
Time   8.792472121861172 	 GenerateBlock: 3
Time   8.792472121861172 	 Money in circulation = 335.0 coins
Time   8.807105102522362 	 ReceiveTXN: 8 7 13
Time   8.807105102522362 	 Money in circulation = 335.0 coins
Time   8.870872542438962 	 ReceiveBlock: 7 8 6
Time   8.870872542438962 	 Money in circulation = 335.0 coins
Time   8.896191627735465 	 ReceiveTXN: 8 3 13
Time   8.896191627735465 	 Money in circulation = 335.0 coins
Time   8.917064908159258 	 ReceiveTXN: 0 7 13
Time   8.917064908159258 	 Money in circulation = 335.0 coins
Time   8.948365447302011 	 ReceiveTXN: 3 1 13
Time   8.948365447302011 	 Money in circulation = 350.0 coins
Time   9.004480915666754 	 GenerateBlock: 2
Time   9.004480915666754 	 Money in circulation = 400.0 coins
Time   9.027093376805771 	 ReceiveBlock: 3 0 7
Time   9.027093376805771 	 Money in circulation = 400.0 coins
Time   9.06287992214116 	 ReceiveTXN: 1 4 13
Time   9.06287992214116 	 Money in circulation = 400.0 coins
Time   9.089206698494602 	 ReceiveTXN: 3 8 13
Time   9.089206698494602 	 Money in circulation = 400.0 coins
Time   9.11858655783885 	 ReceiveTXN: 9 4 13
Time   9.11858655783885 	 Money in circulation = 400.0 coins
Time   9.121218161607178 	 ReceiveBlock: 3 1 7
Time   9.121218161607178 	 Money in circulation = 400.0 coins
Time   9.204288341158243 	 ReceiveBlock: 2 6 8
Time   9.204288341158243 	 Money in circulation = 400.0 coins
Time   9.235974776514572 	 ReceiveBlock: 1 4 7
Time   9.235974776514572 	 Money in circulation = 400.0 coins
Time   9.248220634815546 	 ReceiveBlock: 3 8 7
Time   9.248220634815546 	 Money in circulation = 400.0 coins
Time   9.281277420818991 	 ReceiveTXN: 7 0 13
Time   9.281277420818991 	 Money in circulation = 400.0 coins
Time   9.289838416320608 	 ReceiveBlock: 0 6 7
Time   9.289838416320608 	 Money in circulation = 400.0 coins
Time   9.364694107117877 	 ReceiveTXN: 4 9 13
Time   9.364694107117877 	 Money in circulation = 400.0 coins
Time   9.393347695092013 	 ReceiveBlock: 6 2 7
Time   9.393347695092013 	 Money in circulation = 400.0 coins
Time   9.431401250979652 	 ReceiveBlock: 2 5 8
Time   9.431401250979652 	 Money in circulation = 400.0 coins
Time   9.47695636278226 	 ReceiveBlock: 8 6 7
Time   9.47695636278226 	 Money in circulation = 400.0 coins
Time   9.501715504740764 	 ReceiveBlock: 0 7 7
Time   9.501715504740764 	 Money in circulation = 400.0 coins
Time   9.51062203463138 	 ReceiveBlock: 8 7 7
Time   9.51062203463138 	 Money in circulation = 400.0 coins
Time   9.53784605124833 	 ReceiveBlock: 4 9 7
Time   9.53784605124833 	 Money in circulation = 400.0 coins
